,Name,Industry,paid_leave_weeks_woman,unpaid_leave_weeks_woman,paid_leave_weeks_man,unpaid_leave_weeks_man
662,Army (British),Government: Federal,39.0,13.0,2.0,
663,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
664,Zurich,Insurance: Life,29.0,,0.0,
665,Etsy,Technology: Consumer Internet,26.0,,26.0,
666,Spotify,Technology: Consumer Internet,26.0,,26.0,
667,Adobe Systems,Technology: Software,26.0,6.0,10.0,
668,AO.com,Retail: Online,26.0,,,
669,Morrison & Foerster LLP,Law Firm,26.0,,,
670,Organizer Inc.,Technology: Software,26.0,,,
671,Worldpay,Technology: Payments,26.0,,,
672,Zynga,Technology: Gaming,26.0,12.0,12.0,
673,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
674,72andsunny,Advertising,24.0,,4.0,
675,Motorola Mobility,Technology: Manufacturing,24.0,,,
676,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
677,ZestFinance,Finance: Loans,24.0,,,
678,World First,Services: Other,24.0,4.0,2.0,
679,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
680,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
681,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
682,Army (British),Government: Federal,39.0,13.0,2.0,
683,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
684,Zurich,Insurance: Life,29.0,,0.0,
685,Etsy,Technology: Consumer Internet,26.0,,26.0,
686,Spotify,Technology: Consumer Internet,26.0,,26.0,
687,Adobe Systems,Technology: Software,26.0,6.0,10.0,
688,AO.com,Retail: Online,26.0,,,
689,Morrison & Foerster LLP,Law Firm,26.0,,,
690,Organizer Inc.,Technology: Software,26.0,,,
691,Worldpay,Technology: Payments,26.0,,,
692,Zynga,Technology: Gaming,26.0,12.0,12.0,
693,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
694,72andsunny,Advertising,24.0,,4.0,
695,Motorola Mobility,Technology: Manufacturing,24.0,,,
696,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
697,ZestFinance,Finance: Loans,24.0,,,
698,World First,Services: Other,24.0,4.0,2.0,
699,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
700,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
701,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
702,Army (British),Government: Federal,39.0,13.0,2.0,
703,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
704,Zurich,Insurance: Life,29.0,,0.0,
705,Etsy,Technology: Consumer Internet,26.0,,26.0,
706,Spotify,Technology: Consumer Internet,26.0,,26.0,
707,Adobe Systems,Technology: Software,26.0,6.0,10.0,
708,AO.com,Retail: Online,26.0,,,
709,Morrison & Foerster LLP,Law Firm,26.0,,,
710,Organizer Inc.,Technology: Software,26.0,,,
711,Worldpay,Technology: Payments,26.0,,,
712,Zynga,Technology: Gaming,26.0,12.0,12.0,
713,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
714,72andsunny,Advertising,24.0,,4.0,
715,Motorola Mobility,Technology: Manufacturing,24.0,,,
716,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
717,ZestFinance,Finance: Loans,24.0,,,
718,World First,Services: Other,24.0,4.0,2.0,
719,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
720,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
721,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
722,Army (British),Government: Federal,39.0,13.0,2.0,
723,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
724,Zurich,Insurance: Life,29.0,,0.0,
725,Etsy,Technology: Consumer Internet,26.0,,26.0,
726,Spotify,Technology: Consumer Internet,26.0,,26.0,
727,Adobe Systems,Technology: Software,26.0,6.0,10.0,
728,AO.com,Retail: Online,26.0,,,
729,Morrison & Foerster LLP,Law Firm,26.0,,,
730,Organizer Inc.,Technology: Software,26.0,,,
731,Worldpay,Technology: Payments,26.0,,,
732,Zynga,Technology: Gaming,26.0,12.0,12.0,
733,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
734,72andsunny,Advertising,24.0,,4.0,
735,Motorola Mobility,Technology: Manufacturing,24.0,,,
